attendancePercentage,averageResultPercentage,absenceCount,failedSubjects,performanceTrend
53,73,26,3,0
43,38,15,4,8
90,46,6,0,-13
44,94,24,2,5
40,73,13,0,10
43,64,14,3,1
94,53,11,5,15
63,52,3,5,-13
49,35,8,2,4
76,77,24,2,-2
80,97,7,5,3
51,42,17,4,-18
63,40,20,5,-15
69,67,22,4,3
91,79,20,4,-20
85,71,26,1,-14
90,98,27,1,-9
61,97,4,0,10
74,80,1,4,11
82,88,21,5,-7
44,76,19,0,-17
97,62,25,2,-1
66,87,19,3,16
68,43,26,2,-4
98,48,25,3,18
57,85,13,2,0
67,86,18,3,12
41,67,10,3,-4
50,74,23,3,-14
73,38,1,3,0
65,39,27,4,-13
99,96,27,5,2
70,89,0,3,15
47,43,20,4,16
80,73,27,4,11
88,41,2,2,10
45,35,24,2,-15
84,71,3,4,-2
97,100,2,0,10
90,42,8,5,-6
60,38,28,5,12
82,77,0,1,10
50,99,0,1,8
88,66,20,3,2
48,99,11,4,20
94,94,6,2,-15
77,76,15,4,20
55,42,6,4,6
66,43,18,2,18
42,47,24,3,18
44,54,11,0,1
73,54,22,2,-19
86,71,15,1,-11
55,67,5,3,-9
78,45,29,0,-12
89,43,9,4,-9
65,46,24,3,-4
72,57,10,5,18
76,58,29,5,-12
94,61,17,3,6
57,42,29,5,-19
85,79,30,0,-19
88,63,21,2,-19
58,96,14,0,15
64,39,14,5,-6
40,88,25,4,20
59,68,8,3,-11
100,48,2,0,-13
83,87,11,2,-9
77,79,25,4,0
70,58,15,1,-10
89,36,29,0,18
44,51,18,3,16
61,45,11,5,17
76,39,21,4,0
82,53,8,2,6
84,98,24,1,-16
42,88,23,4,11
73,97,8,4,-19
98,63,10,1,1
80,68,28,0,7
67,59,7,0,11
68,65,24,4,7
54,83,28,4,-17
57,76,4,5,12
54,63,25,5,-8
61,96,22,1,1
100,100,18,4,-19
79,72,11,4,-16
61,65,18,2,-4
82,43,10,3,-10
86,57,23,4,6
69,86,9,5,-16
97,35,5,4,19
97,60,24,3,-18
61,81,1,5,11
92,95,21,3,0
42,51,8,1,4
52,44,19,1,-16
78,68,7,5,0
60,58,11,1,-16
80,99,21,0,-10
53,46,4,3,-15
79,67,10,1,-17
98,55,8,1,9
82,54,21,2,-4
55,45,3,2,14
74,92,24,2,-8
54,82,19,4,-5
96,85,27,2,0
41,98,5,4,-2
71,49,26,0,3
44,62,15,1,-15
92,73,24,0,12
69,100,2,2,0
88,40,16,0,-5
64,46,19,2,19
63,64,13,4,-19
56,79,20,1,-18
95,38,18,2,12
64,62,16,0,-5
87,75,29,2,13
66,100,2,4,-18
75,60,0,4,-2
87,55,15,1,14
48,61,28,5,-6
52,36,13,0,15
78,57,14,1,-10
76,97,30,3,-8
93,84,7,4,-3
41,75,7,3,18
97,49,8,1,-12
74,44,3,0,-13
83,48,29,1,-15
95,96,12,1,12
69,60,23,1,16
58,97,27,0,6
49,71,8,4,-17
88,82,17,5,0
89,46,0,5,5
53,95,12,5,-5
100,70,8,3,-5
50,87,2,3,1
86,72,13,5,9
43,95,1,3,20
85,75,5,4,3
64,64,21,3,-14
60,67,28,5,-12
63,100,23,5,-16
89,57,6,1,-13
89,42,23,1,-10
96,81,0,5,11
62,56,0,3,-6
95,41,20,2,4
90,72,12,5,9
84,62,22,4,-20
51,50,11,4,-5
86,46,9,2,3
95,56,20,4,0
41,62,12,1,-7
49,79,15,1,-18
44,86,14,4,20
55,78,21,1,-19
64,60,2,5,-8
50,62,22,4,18
57,45,8,2,-13
82,95,20,2,5
97,77,4,3,5
60,36,14,4,19
62,36,8,4,-10
95,40,9,3,18
61,46,25,5,-9
48,73,18,3,17
45,38,17,5,-9
72,92,17,3,-15
85,96,4,4,-10
77,65,27,0,-17
97,61,6,5,1
98,82,21,2,-9
59,37,1,5,16
80,83,23,1,0
76,50,7,3,8
50,48,0,2,-16
97,93,8,0,-10
84,79,1,1,3
92,81,3,2,-1
49,48,13,2,7
92,82,15,2,9
51,49,27,5,-1
41,62,1,1,15
61,76,9,4,-12
91,81,18,1,14
69,64,2,0,-18
95,51,18,4,9
49,40,7,4,-3
59,41,30,5,-2
61,49,2,0,-6
84,53,5,4,-13
89,64,19,2,0
97,70,8,5,-9
89,90,19,0,-14
85,97,11,3,9
60,88,5,4,11
79,78,0,0,-13
88,98,2,2,16
81,38,30,0,20
46,63,20,2,1
55,78,6,0,-4
90,48,22,2,-2
75,56,17,3,4
88,68,12,5,10
97,55,9,0,16
59,44,17,5,-11
66,87,28,2,-20
80,80,8,5,-10
52,50,26,2,-11
66,44,11,5,-10
51,75,16,0,4
88,42,21,0,7
43,49,3,2,-8
47,60,21,4,9
64,37,18,5,-1
94,35,24,2,-8
87,56,18,0,-1
60,37,19,3,0
82,98,16,3,-13
83,85,20,1,-20
77,60,0,3,-3
73,40,10,2,-18
48,54,15,2,13
77,92,30,3,12
55,84,23,1,-16
45,100,8,3,-3
89,98,9,3,-11
61,76,26,1,-6
80,74,27,0,8
46,97,30,1,2
79,37,8,2,-7
54,57,3,1,15
79,45,4,2,-17
42,56,28,5,-7
43,68,25,2,1
68,87,13,3,15
55,38,9,5,-9
69,45,18,5,-10
57,60,24,5,-10
42,49,16,4,-7
49,65,22,3,17
69,84,20,2,13
78,93,30,0,-14
88,55,26,2,-10
79,94,14,1,-18
89,92,12,4,19
52,44,16,5,-16
73,90,2,3,7
86,52,1,1,12
92,87,24,5,4
46,47,1,4,-13
80,72,0,3,-13
88,42,3,5,-19
49,75,14,0,0
74,98,25,2,12
53,94,27,0,-20
64,58,4,1,3
72,67,12,2,19
97,65,9,1,-1
72,65,5,5,8
53,50,26,4,6
47,56,26,0,20
96,60,12,0,16
48,86,18,3,-7
78,51,24,1,6
62,87,9,4,-20
91,60,18,3,14
77,81,1,0,3
95,71,12,0,4
46,51,30,4,6
66,63,26,3,1
50,51,13,2,-17
40,71,27,3,-18
60,100,24,2,-20
58,49,19,2,-10
60,48,18,3,6
91,45,13,1,18
64,75,30,5,19
48,50,28,1,13
55,63,21,1,-4
51,99,0,3,-12
91,90,7,4,-18
68,48,15,2,-14
82,39,5,1,20
41,82,7,2,14
48,97,28,1,0
63,52,28,2,-10
43,99,13,5,-10
94,50,7,0,2
47,90,12,4,-4
46,82,9,2,-20
54,44,23,0,-19
93,93,25,2,-20
64,88,22,3,-15
55,60,5,4,-11
87,65,16,0,3
91,51,25,4,-6
81,88,1,2,0
68,44,13,3,-10
86,53,21,1,-11
90,62,4,1,-4
100,41,12,5,-5
44,87,23,5,4
63,63,20,2,-20
99,93,14,5,11
94,83,1,0,-20
86,93,14,5,-5
56,48,0,4,20
94,51,27,5,2
68,82,22,2,2
49,58,25,2,4
72,83,6,1,6
45,67,7,1,-4
87,77,17,0,18
90,50,23,4,14
70,46,29,1,0
88,53,21,1,17
59,99,21,0,0
50,88,27,1,-20
49,37,27,0,-16
48,91,26,4,3
98,79,17,1,1
84,80,30,5,-15
91,84,14,2,18
47,50,5,0,-11
84,85,0,1,16
51,94,5,3,-12
84,76,11,3,-20
61,48,19,5,0
90,67,27,1,-10
87,78,19,0,16
43,91,1,3,16
92,51,4,4,20
57,70,9,4,-8
63,57,25,0,-6
48,66,29,1,13
74,84,19,3,6
69,40,13,5,-17
70,69,13,0,14
87,63,3,3,5
95,57,22,0,-15
88,49,21,1,2
91,51,13,1,-4
70,45,14,5,19
94,62,19,4,9
47,66,12,0,-16
55,42,18,4,-6
71,57,19,1,9
91,38,3,2,12
76,88,10,1,14
55,77,18,5,13
88,64,14,0,-8
56,38,20,4,6
51,75,3,5,18
63,78,30,1,-6
95,93,13,4,4
88,57,0,5,14
56,77,17,4,13
58,52,19,0,4
60,98,14,2,3
96,69,23,4,-6
74,60,10,2,-12
47,92,0,1,-9
85,42,11,1,-19
55,69,9,4,-11
45,66,0,2,1
100,36,8,5,19
41,69,7,0,-6
84,55,4,0,8
66,92,20,0,-10
64,58,1,4,-11
93,69,0,4,5
90,89,7,1,9
62,60,8,5,10
82,37,26,1,18
61,68,25,5,1
55,100,15,5,3
47,62,18,1,11
50,43,19,3,18
80,76,21,0,-10
42,75,29,2,5
42,100,17,2,-16
91,55,11,4,2
66,40,24,0,-10
87,38,4,1,-13
58,45,5,4,-9
46,65,29,4,6
56,73,8,5,-3
84,58,14,3,-19
50,66,10,3,4
78,99,22,3,-11
79,96,26,5,16
94,42,4,0,18
89,68,3,5,14
70,56,14,4,20
90,37,17,0,18
71,84,22,1,-3
55,46,14,5,14
84,48,6,2,-15
92,43,5,1,-3
65,46,8,3,-8
49,97,26,0,16
64,48,5,3,-12
42,39,11,4,16
41,67,5,3,17
51,79,16,5,-1
83,92,10,5,-10
59,61,25,5,-9
50,92,25,4,12
74,72,3,4,15
97,73,0,4,-18
54,59,18,2,15
83,64,15,3,-18
87,79,5,2,-2
66,51,19,3,5
45,94,13,2,-10
51,77,1,0,19
79,45,9,3,-5
85,83,17,5,9
94,96,24,3,-7
53,68,19,1,-8
61,50,29,4,1
89,99,14,1,15
97,60,12,3,17
81,77,16,1,-2
80,45,16,0,-1
79,74,7,5,-6
54,55,9,5,-13
50,76,11,2,16
56,82,8,2,-16
91,91,25,1,-5
89,60,21,5,-8
86,69,9,5,13
90,38,5,0,-9
91,41,23,4,10
83,97,30,2,9
42,43,23,5,20
45,52,30,3,8
68,100,26,4,7
69,66,10,3,2
96,55,30,0,14
64,72,8,3,18
63,97,12,0,11
91,89,30,2,-10
42,96,30,0,12
71,57,12,1,-20
58,86,13,3,-16
59,73,2,0,12
92,75,22,5,-17
42,55,8,0,19
47,55,19,4,-12
68,69,22,5,3
97,99,21,5,14
49,55,21,5,-2
80,90,1,2,-18
75,78,28,3,-9
86,93,15,3,19
57,84,27,2,-5
71,35,6,1,14
55,100,16,2,-12
91,85,7,5,-6
56,67,3,3,-8
86,95,7,0,-18
61,41,1,0,-11
70,76,4,4,9
47,94,12,4,-17
71,41,26,2,16
62,67,28,0,5
51,44,12,5,17
73,85,25,0,6
55,62,20,4,-14
67,88,29,1,-4
62,52,27,5,15
45,84,10,2,-19
68,37,6,0,18
90,35,28,2,-17
74,100,4,5,-3
72,58,18,3,18
57,80,26,2,14
40,73,5,4,-17
83,87,26,0,2
49,89,0,2,-7
57,46,22,0,1
93,93,9,5,1
42,84,23,2,3
69,37,10,1,8
100,39,20,3,-4
67,82,0,0,1
94,99,25,1,16
42,79,18,3,7
61,99,21,2,17
50,73,3,3,18
62,35,23,5,-6
82,60,8,3,-1
73,42,27,3,14
67,99,26,1,11
63,72,18,0,-20
43,95,21,3,17
78,53,1,1,6
60,82,26,3,5
52,85,0,3,-20
99,59,4,0,-1
67,44,4,1,10
81,74,20,2,10
85,63,11,4,13
64,71,11,1,-3
71,53,27,1,-12
93,80,20,4,-16
88,39,0,3,9
83,66,5,5,-10
60,41,7,1,2
40,96,12,1,-2
66,68,3,0,-15
79,70,17,5,13
75,98,29,1,12
54,100,4,4,-16
85,84,20,3,16
53,48,6,5,-16
81,43,11,3,12
86,41,5,3,-2
51,83,18,3,-2
58,81,18,4,-5
54,58,13,5,3
77,56,24,2,19
70,100,23,4,4
79,45,19,2,-19
79,58,10,0,10
57,88,30,0,9
73,42,21,5,11
49,80,8,3,-14
44,57,2,2,19
98,57,0,5,17
77,97,6,2,11
94,51,4,2,13
57,79,10,4,-19
85,85,17,5,-11
45,79,2,5,17
99,69,9,1,3
87,66,13,1,18
65,80,17,4,-10
67,73,7,5,-4
72,98,10,0,-10
62,39,11,0,13
68,83,29,1,3
64,42,27,0,-11
51,64,13,5,-9
96,75,22,1,-2
40,90,0,4,-16
76,49,19,4,-2
61,77,8,0,13
45,66,25,5,-3
59,71,18,1,8
55,66,24,2,3
58,53,28,4,-18
84,44,3,2,10
41,96,20,5,-3
80,59,28,0,-20
59,88,0,1,-20
72,86,29,2,-14
92,58,7,1,4
99,53,1,5,8
71,81,20,0,-3
42,66,20,2,-8
86,94,15,0,-9
81,58,25,1,15
57,62,12,2,14
64,76,27,0,-1
89,66,3,4,-10
44,47,9,2,-14
85,49,18,1,17
63,50,1,5,-2
40,81,17,2,16
51,93,26,1,18
57,69,22,5,-20
87,61,25,5,0
99,58,8,1,-13
53,46,2,0,9
57,80,24,1,12
79,71,23,3,-4
55,59,8,1,1
41,72,0,2,7
45,61,3,4,-20
50,35,13,5,12
94,39,7,4,-10
52,83,19,5,-7
58,98,19,5,-18
70,94,17,5,4
73,92,26,0,13
55,69,19,2,9
80,65,0,1,6
60,97,22,4,10
71,84,25,2,0
83,68,29,2,-14
79,92,10,5,0
85,100,0,5,4
90,55,10,5,14
80,52,10,0,18
100,92,1,3,-1
51,87,15,3,-15
65,81,28,5,-7
65,70,24,4,15
41,84,17,4,-15
67,91,19,0,-13
97,75,2,2,-14
83,55,8,0,19
51,76,1,0,-12
79,89,3,4,0
41,47,8,2,-9
79,82,30,0,1
57,54,13,3,18
96,37,8,4,19
54,89,22,1,-20
61,43,7,4,0
67,73,28,0,19
67,51,8,5,-15
93,56,15,0,-4
70,44,9,3,8
44,82,14,5,10
49,65,29,5,-15
70,35,1,4,-19
44,58,27,2,-14
45,95,15,1,-3
70,39,21,3,-1
41,62,23,1,-12
87,39,15,3,5
65,47,16,1,0
94,91,28,1,-3
76,50,20,2,12
79,36,0,5,-13
55,82,25,3,6
43,55,30,0,20
52,67,23,4,16
100,81,28,5,-13
82,38,27,5,10
63,83,12,1,6
95,85,8,4,10
44,90,23,1,-1
74,71,27,5,2
71,67,7,5,-13
78,94,7,1,6
43,51,14,1,-3
88,56,30,4,-6
72,90,20,1,20
43,89,8,4,15
63,81,27,1,3
82,68,23,3,1
41,50,27,1,-11
78,79,14,3,14
74,79,24,2,8
60,61,15,4,-3
98,65,20,2,-10
75,98,19,3,6
53,90,10,1,6
42,73,8,3,3
59,48,10,3,-4
67,43,3,2,-4
62,58,3,0,-8
41,81,1,4,-7
64,64,18,2,-12
67,89,2,1,-11
76,70,20,5,11
82,88,20,3,-18
93,72,21,1,-4
66,86,20,1,3
82,75,21,2,-18
94,58,28,1,-4
66,52,22,0,6
78,55,2,0,-12
89,44,9,4,-16
96,81,24,2,-17
80,90,7,2,-13
85,46,5,1,3
51,78,20,3,-1
97,97,28,5,14
91,37,18,0,13
64,87,9,0,14
44,93,12,5,15
73,75,18,2,10
67,42,30,3,16
72,45,19,3,3
83,84,1,4,-4
94,71,13,5,18
63,55,29,3,4
40,98,4,0,20
72,68,3,4,6
50,74,26,3,2
94,65,26,5,-2
69,47,5,2,6
51,70,3,3,-17
59,64,18,1,2
59,55,0,0,-7
51,75,6,4,17
73,98,27,4,2
59,57,2,0,5
62,40,24,0,-4
79,95,12,5,-13
68,91,19,1,-5
49,69,26,4,15
67,40,28,0,6
85,84,25,0,4
62,83,27,1,19
94,59,16,0,-3
86,66,18,4,9
88,48,25,4,-13
98,71,13,1,7
59,58,24,1,-3
40,64,30,0,20
77,79,12,5,-20
45,42,3,2,11
82,53,18,3,-5
56,59,9,0,14
100,36,8,2,10
58,60,23,3,-1
50,95,20,2,-17
82,68,2,5,-3
75,85,18,4,0
56,53,18,2,-3
89,69,6,1,16
96,60,7,3,-1
59,51,17,1,9
54,52,25,3,-1
72,35,16,1,-5
65,86,30,3,-16
63,39,11,0,10
92,95,14,1,-18
81,69,27,5,-17
43,79,26,5,-11
80,35,11,3,-15
85,44,25,5,-13
73,92,24,3,-18
81,99,9,3,-19
100,35,30,3,2
55,92,15,4,-14
49,87,28,0,-3
77,93,1,0,-3
48,99,9,2,-3
75,66,4,0,1
93,49,12,0,-7
55,59,11,4,17
83,39,1,5,20
60,77,27,1,19
60,77,24,4,-8
72,70,1,3,-15
98,55,15,1,-2
66,63,5,2,17
70,53,14,4,-6
45,89,30,3,13
98,50,27,5,-16
86,61,2,3,-13
97,76,4,2,-16
42,76,5,2,8
52,69,27,5,12
97,78,8,3,-19
94,93,7,5,2
91,72,24,1,-20
50,50,10,3,-18
46,92,25,0,-7
64,86,27,0,16
42,96,26,1,-16
50,50,6,5,-20
52,69,5,0,12
92,58,9,3,-18
40,100,5,3,-16
55,43,3,1,-19
73,82,6,3,2
57,78,17,5,14
57,57,27,4,-15
56,52,4,1,5
97,90,19,2,5
95,78,27,4,2
74,87,4,1,13
77,95,2,0,6
59,59,22,0,18
44,66,26,1,-17
88,51,15,5,-5
87,80,23,4,-20
60,91,20,2,-4
60,66,26,3,-16
81,87,21,2,2
93,38,2,5,9
56,69,9,5,9
69,74,21,1,-6
100,74,21,4,-3
49,72,27,2,18
42,94,19,4,12
100,52,24,3,-8
86,90,21,4,20
48,87,2,0,-5
83,81,11,2,-8
92,80,29,4,10
87,74,29,0,-14
47,92,10,0,16
63,58,24,3,19
65,89,16,0,9
45,80,26,3,-2
61,89,28,5,8
49,87,17,0,5
81,72,13,2,7
56,68,15,4,4
70,80,23,4,4
62,37,25,0,9
55,71,9,2,17
59,41,30,5,2
76,88,8,2,14
54,69,7,0,-10
94,87,22,4,-3
57,54,16,3,-13
80,97,14,5,-20
80,37,12,2,7
57,65,2,2,11
55,76,9,1,13
56,100,16,2,2
87,77,23,5,-3
92,39,29,1,-6
94,41,11,1,-4
90,47,29,0,-18
62,99,17,0,3
70,35,30,4,2
50,77,30,5,16
97,68,9,4,-10
54,46,22,1,-14
66,82,4,3,18
40,39,12,4,8
43,88,3,0,0
85,50,27,5,-2
75,52,19,5,4
91,58,24,1,-12
65,82,15,5,-16
59,65,16,5,2
97,41,13,5,6
48,92,30,0,19
99,74,24,2,16
90,75,0,3,9
62,73,6,1,9
98,55,13,5,-18
73,92,14,0,8
94,80,19,3,4
64,59,24,5,20
47,76,3,3,-11
41,96,13,4,20
83,92,22,1,9
97,44,2,2,-19
87,92,23,0,11
